X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-76.978067295,38.8866970190001,4772,55163,ACTIVE,1825 BAY STREET SE,401903.08,135427.93,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982524121,38.894967369,4773,61249,ACTIVE,1530 D STREET NE,401516.23,136345.92,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.978824606,38.88847235,4774,56184,ACTIVE,1801 A STREET SE,401837.33,135624.99,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982927264,38.887131584,4775,303798,ACTIVE,1520 1/2 MASSACHUSETTS AVENUE SE,401481.42,135476.08,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981986332,38.8873510670001,4776,52352,ACTIVE,204 16TH STREET SE,401563.05,135500.46,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.978765424,38.8863232100001,4777,55995,ACTIVE,1802 BURKE STREET SE,401842.52,135386.42,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.978261109,38.895957304,4778,55341,ACTIVE,1823 E STREET NE,401886.02,136455.89,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9824431709999,38.894609454,4779,60947,ACTIVE,1535 D STREET NE,401523.26,136306.19,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980970283,38.893040236,4780,58339,ACTIVE,1661 C STREET NE,401651.07,136132.02,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982012791,38.8916695070001,4781,70486,ACTIVE,123 16TH STREET NE,401560.66,135979.84,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.983465592,38.891854213,4782,62593,ACTIVE,1501 CONSTITUTION AVENUE NE,401434.62,136000.32,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.983373988,38.885767059,4783,45016,ACTIVE,272 15TH STREET SE,401442.69,135324.6,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980230552,38.887771114,4784,57376,ACTIVE,1714 INDEPENDENCE AVENUE SE,401715.37,135547.12,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9781902779999,38.8866990240001,4785,55276,ACTIVE,1821 BAY STREET SE,401892.41,135428.15,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9805327129999,38.8833303920001,4786,24741,ACTIVE,424 17TH STREET SE,401689.26,135054.16,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977472153,38.89416521,4787,37446,ACTIVE,326 19TH STREET NE,401954.51,136256.97,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980096504,38.8927236260001,4788,50682,ACTIVE,220 17TH PLACE NE,401726.88,136096.89,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
